"Geburtsland","Geburtsort","Geburtsort.korrigiert","Geburtsort_Land.kombiniert","Anzahl.Personen","Notizen","Lat_Bing","Long_Bing","Distanz.zu.Düsseldorf"
"Bayern","Nürnberg","Nürnberg","Nürnberg, Bayern",505,"",49.46519852,11.07600021,362.624019524983
"Bayern","Regensburg","Regensburg","Regensburg, Bayern",166,"",49.02399826,12.07590008,450.397446007514
"Bayern","Schweinfurt","Schweinfurt","Schweinfurt, Bayern",142,"",50.04539871,10.23159981,276.908385513581
"Bayern","Würzburg","Würzburg","Würzburg, Bayern",488,"",49.80350113,9.944020271,274.079853957897
"Berlin","Berlin Stadt","Berlin","Berlin, Berlin",5692,"",52.51607132,13.37697983,476.928360716008
"Brandenburg","Brandenburg an der Havel Stadt","Brandenburg an der Havel","Brandenburg an der Havel, Brandenburg",208,"",52.41090012,12.50090027,416.438962250611
"Brandenburg","Cottbus Stadt","Cottbus","Cottbus, Brandenburg",210,"",51.76089859,14.35079956,529.365733151953
"Brandenburg","Eberswalde Stadt","Eberswalde","Eberswalde, Brandenburg",101,"",52.832901,13.75199986,511.231272252915
"Brandenburg","Frankfurt Oder Stadt","Frankfurt an der Oder","Frankfurt an der Oder, Brandenburg",180,"",52.34370041,14.55099964,550.753480365432
"Brandenburg","Potsdam Stadt","Potsdam","Potsdam, Brandenburg",303,"",52.38288879,13.04601002,451.415189780226
"Brandenburg","Schwerin","Schwerin","Schwerin, Brandenburg",206,"",52.15819931,13.63269997,485.421893441583
"Bremen","Bremen Stadt","Bremen","Bremen, Bremen",1278,"",53.07509995,8.804690361,249.057225082775
"Bremen","Bremerhaven Stadt","Bremerhaven","Bremerhaven, Bremen",320,"",53.52610016,8.623869896,286.080459253148
"Hamburg","Hamburg Freie und Hansestadt","Hamburg","Hamburg, Hamburg",2775,"",53.55334091,9.992469788,339.846374162684
"Hessen","Bad Hersfeld Kreisstadt","Bad Hersfeld","Bad Hersfeld, Hessen",119,"",50.86500168,9.702589989,208.912084067848
"Hessen","Bad Homburg v d Höhe Stadt","Bad Homburg von der Höhe","Bad Homburg von der Höhe, Hessen",112,"",50.22650146,8.611969948,169.990899506813
"Hessen","Bad Soden am Taunus Stadt","Bad Soden am Taunus","Bad Soden am Taunus, Hessen",101,"",50.15670013,8.49489975,169.145542579696
"Hessen","Darmstadt Wissenschaftsstadt","Darmstadt","Darmstadt, Hessen",332,"",49.85340118,8.646519661,201.276345386768
"Hessen","Frankfurt am Main Stadt","Frankfurt am Main","Frankfurt am Main, Hessen",1621,"",50.11207962,8.683409691,182.298175807194
"Hessen","Fulda Stadt","Fulda","Fulda, Hessen",220,"",50.54769897,9.671759605,216.877426933252
"Hessen","Gießen Universitätsstadt","Gießen","Gießen, Hessen",361,"",50.58409882,8.678359985,151.117541323916
"Hessen","Hanau BrüderGrimmStadt","Hanau","Hanau, Hessen",182,"",50.13539886,8.917329788,193.197099809768
"Hessen","Kassel documentaStadt","Kassel","Kassel, Hessen",732,"",51.31610107,9.468520164,188.244175208341
"Hessen","Marburg Universitätsstadt","Marburg","Marburg, Hessen",407,"",50.80550003,8.777580261,147.68032623479
"Hessen","Offenbach am Main Stadt","Offenbach am Main","Offenbach am Main, Hessen",259,"",50.10329819,8.777469635,187.92061563764
"Hessen","Weimar Lahn","Weimar an der Lahn","Weimar an der Lahn, Hessen",162,"",50.7597084,8.733200073,146.46801468588
"Hessen","Wiesbaden Landeshauptstadt","Wiesbaden","Wiesbaden, Hessen",559,"",50.08459854,8.242289543,162.973052353534
"Mecklenburg-Vorpommern","GREIFSWALD","Greifswald","Greifswald, Mecklenburg-Vorpommern",144,"",54.08974457,13.39124393,549.713313007371
"Mecklenburg-Vorpommern","NEUBRANDENBURG","Neubrandenburg","Neubrandenburg, Mecklenburg-Vorpommern",117,"",53.55918503,13.27782536,513.394951600887
"Mecklenburg-Vorpommern","Rostock Hansestadt","Rostock","Rostock, Mecklenburg-Vorpommern",410,"",54.0790596,12.13216019,482.283784655279
"Mecklenburg-Vorpommern","STRALSUND","Stralsund","Stralsund, Mecklenburg-Vorpommern",134,"",54.30881119,13.09450722,547.609523011108
"Niedersachsen","Aurich Stadt","Aurich","Aurich, Niedersachsen",131,"",53.46720123,7.488900185,255.052575600501
"Niedersachsen","Bad Pyrmont Stadt","Bad Pyrmont","Bad Pyrmont, Niedersachsen",104,"",51.99020004,9.266719818,192.846963921579
"Niedersachsen","Braunschweig Stadt","Braunschweig","Braunschweig, Niedersachsen",685,"",52.23550034,10.54189968,283.801383571294
"Niedersachsen","Celle Stadt","Celle","Celle, Niedersachsen",297,"",52.62189865,10.0763998,275.661311051783
"Niedersachsen","Cloppenburg Stadt","Cloppenburg","Cloppenburg, Niedersachsen",137,"",52.8404007,8.043840408,200.525898791836
"Niedersachsen","Cuxhaven Stadt","Cuxhaven","Cuxhaven, Niedersachsen",148,"",53.84429932,8.687970161,319.803536086942
"Niedersachsen","Delmenhorst Stadt","Delmenhorst","Delmenhorst, Niedersachsen",151,"",53.04919815,8.625289917,239.995787203335
"Niedersachsen","Emden Stadt","Emden","Emden, Niedersachsen",119,"",53.37070084,7.208630085,241.461928129878
"Niedersachsen","Georgsmarienhütte Stadt","Georgsmarienhütte","Georgsmarienhütte, Niedersachsen",227,"",52.1977005,8.045419693,140.079521860357
"Niedersachsen","GOSLAR","Goslar","Goslar, Niedersachsen",150,"",51.91469955,10.42930031,264.94433788615
"Niedersachsen","Göttingen Stadt","Göttingen","Göttingen, Niedersachsen",645,"",51.55989838,9.931920052,222.974301216273
"Niedersachsen","Gronau Leine Stadt","Gronau (Leine)","Gronau (Leine), Niedersachsen",140,"",52.08319855,9.786910057,229.61139391909
"Niedersachsen","Hameln Stadt","Hameln","Hameln, Niedersachsen",217,"",52.1012001,9.348750114,203.428722594563
"Niedersachsen","HANNOVER","Hannover","Hannover, Niedersachsen",1551,"",52.37226868,9.738149643,241.435310087622
"Niedersachsen","Haselünne Stadt","Haselünne","Haselünne, Niedersachsen",105,"",52.6780014,7.479949951,169.658352795297
"Niedersachsen","Helmstedt Stadt","Helmstedt","Helmstedt, Niedersachsen",115,"",52.22919846,10.99839973,312.723169070329
"Niedersachsen","Hildesheim Stadt","Hildesheim","Hildesheim, Niedersachsen",401,"",52.16080093,9.978560448,245.107970538125
"Niedersachsen","Holzminden Stadt","Holzminden","Holzminden, Niedersachsen",123,"",51.82720184,9.445819855,197.37144321256
"Niedersachsen","Husum","Husum","Husum, Niedersachsen",110,"",52.56420135,9.242050171,226.493527562472
"Niedersachsen","Leer Ostfriesland Stadt","Leer (Ostfriesland)","Leer (Ostfriesland), Niedersachsen",168,"",53.23751068,7.461763859,229.665737289489
"Niedersachsen","Lingen Ems Stadt","Lingen (Ems)","Lingen (Ems), Niedersachsen",221,"",52.53214264,7.323010921,151.157228852269
"Niedersachsen","Lüneburg Hansestadt","Lüneburg","Lüneburg, Niedersachsen",188,"",53.25270081,10.41180038,336.096320855949
"Niedersachsen","Meppen Stadt","Meppen","Meppen, Niedersachsen",140,"",52.69329834,7.277890205,167.893523969542
