"Geburtsland","Geburtsort","Geburtsort.korrigiert","Geburtsort_Land.kombiniert","Anzahl.Personen","Notizen","Lat_Bing","Long_Bing","Distanz.zu.Düsseldorf"
"Nordrhein-Westfalen","Olpe Stadt","Olpe ","Olpe , Nordrhein-Westfalen",200,"",51.02600098,7.847869873,77.948511776907
"Nordrhein-Westfalen","Paderborn Stadt","Paderborn ","Paderborn , Nordrhein-Westfalen",888,"",51.71813965,8.752039909,148.238997829853
"Nordrhein-Westfalen","Plettenberg Stadt","Plettenberg ","Plettenberg , Nordrhein-Westfalen",107,"",51.21289825,7.88132,77.2298390278309
"Nordrhein-Westfalen","Radevormwald Stadt auf der Höhe","Radevormwald","Radevormwald, Nordrhein-Westfalen",127,"",51.19860077,7.348169804,40.0276939666511
"Nordrhein-Westfalen","Ratingen Stadt","Ratingen ","Ratingen , Nordrhein-Westfalen",3736,"",51.29610062,6.815670013,9.36483781905103
"Nordrhein-Westfalen","Recklinghausen Stadt","Recklinghausen ","Recklinghausen , Nordrhein-Westfalen",859,"",51.61949921,7.213409901,54.2409480788965
"Nordrhein-Westfalen","Remscheid Stadt","Remscheid ","Remscheid , Nordrhein-Westfalen",1001,"",51.18249893,7.212669849,30.7404034423296
"Nordrhein-Westfalen","RhedaWiedenbrück Stadt","Rheda-Wiedenbrück ","Rheda-Wiedenbrück , Nordrhein-Westfalen",232,"",51.83470917,8.304019928,126.42201807
"Nordrhein-Westfalen","Rhede Stadt","Rhede ","Rhede , Nordrhein-Westfalen",109,"",51.83679962,6.703849792,69.2475425078587
"Nordrhein-Westfalen","Rheinberg Stadt","Rheinberg ","Rheinberg , Nordrhein-Westfalen",179,"",51.54570007,6.587409973,38.9774807806293
"Nordrhein-Westfalen","Rheine Stadt","Rheine ","Rheine , Nordrhein-Westfalen",443,"",52.28419876,7.476709843,128.289947748027
"Nordrhein-Westfalen","Salzkotten Stadt","Salzkotten ","Salzkotten , Nordrhein-Westfalen",128,"",51.67750168,8.614330292,137.727249166371
"Nordrhein-Westfalen","Schwelm Stadt","Schwelm ","Schwelm , Nordrhein-Westfalen",405,"",51.29460144,7.299389839,37.5760996273507
"Nordrhein-Westfalen","Schwerte Hansestadt an der Ruhr","Schwerte ","Schwerte , Nordrhein-Westfalen",193,"",51.43970108,7.540919781,58.8467101031864
"Nordrhein-Westfalen","Siegburg Stadt","Siegburg ","Siegburg , Nordrhein-Westfalen",257,"",50.80479813,7.213850021,55.047553846009
"Nordrhein-Westfalen","Siegen Universitätsstadt","Siegen ","Siegen , Nordrhein-Westfalen",950,"",50.86700058,7.986810207,93.3432644001419
"Nordrhein-Westfalen","Soest Stadt","Soest ","Soest , Nordrhein-Westfalen",388,"",51.55879974,8.119050026,100.973266601759
"Nordrhein-Westfalen","Solingen Klingenstadt","Solingen ","Solingen , Nordrhein-Westfalen",2125,"",51.16759872,7.085100174,22.2558716626988
"Nordrhein-Westfalen","Stadtlohn Stadt","lohn ","lohn , Nordrhein-Westfalen",147,"",50.85710144,6.293499947,52.2911449704648
"Nordrhein-Westfalen","Steinfurt Stadt","Steinfurt ","Steinfurt , Nordrhein-Westfalen",249,"",52.15008926,7.338950157,110.956463899984
"Nordrhein-Westfalen","Tönisvorst Stadt","Tönisvorst ","Tönisvorst , Nordrhein-Westfalen",270,"",51.32062149,6.495359898,22.8034943708811
"Nordrhein-Westfalen","Troisdorf Stadt","Troisdorf ","Troisdorf , Nordrhein-Westfalen",301,"",50.80360031,7.156620026,53.0259131061381
"Nordrhein-Westfalen","Unna Stadt","Unna ","Unna , Nordrhein-Westfalen",406,"",51.52619934,7.695569992,72.7488937528711
"Nordrhein-Westfalen","Velbert Stadt","Velbert ","Velbert , Nordrhein-Westfalen",1193,"",51.33150101,7.044730186,22.7493850231502
"Nordrhein-Westfalen","Viersen Stadt","Viersen ","Viersen , Nordrhein-Westfalen",1243,"",51.25529861,6.382239819,27.8549726812851
"Nordrhein-Westfalen","Waldbröl Stadt","Waldbröl ","Waldbröl , Nordrhein-Westfalen",175,"",50.87680054,7.610429764,69.5900881273503
"Nordrhein-Westfalen","Warburg Hansestadt","Warburg","Warburg, Nordrhein-Westfalen",144,"",51.48379898,9.132909775,166.876760521138
"Nordrhein-Westfalen","Warendorf Stadt","Warendorf ","Warendorf , Nordrhein-Westfalen",224,"",51.94269943,7.981440067,116.260982338722
"Nordrhein-Westfalen","Warstein Stadt","Warstein ","Warstein , Nordrhein-Westfalen",141,"",51.43190002,8.343640327,111.885869949394
"Nordrhein-Westfalen","Werdohl Stadt","Werdohl ","Werdohl , Nordrhein-Westfalen",115,"",51.25979996,7.757530212,68.7206527051302
"Nordrhein-Westfalen","Wermelskirchen Stadt","Wermelskirchen ","Wermelskirchen , Nordrhein-Westfalen",196,"",51.1393013,7.228779793,32.7773149093447
"Nordrhein-Westfalen","Werne Stadt","Werne ","Werne , Nordrhein-Westfalen",146,"",51.67129898,7.629179955,78.0063266135839
"Nordrhein-Westfalen","Wesel Stadt","Wesel ","Wesel , Nordrhein-Westfalen",951,"",51.65879822,6.610079765,50.6070402340828
"Nordrhein-Westfalen","Wickede Ruhr","Wickede Ruhr","Wickede Ruhr, Nordrhein-Westfalen",158,"",51.49980164,7.850669861,81.2484930483448
"Nordrhein-Westfalen","Willich Stadt","Willich ","Willich , Nordrhein-Westfalen",467,"",51.25899887,6.548789978,16.5871641559904
"Nordrhein-Westfalen","Wipperfürth Hansestadt","Wipperfürth","Wipperfürth, Nordrhein-Westfalen",179,"",51.12020111,7.400179863,44.9253090120985
"Nordrhein-Westfalen","Witten Stadt","Witten ","Witten , Nordrhein-Westfalen",454,"",51.43399811,7.344950199,46.4981684892573
"Nordrhein-Westfalen","Wülfrath Stadt","Wülfrath ","Wülfrath , Nordrhein-Westfalen",180,"",51.28430176,7.054289818,20.8737208504241
"Nordrhein-Westfalen","Wuppertal Stadt","Wuppertal ","Wuppertal , Nordrhein-Westfalen",4181,"",51.27154922,7.196559906,30.0154932740129
"Nordrhein-Westfalen","Xanten Stadt","Xanten ","Xanten , Nordrhein-Westfalen",112,"",51.65319824,6.451089859,53.6426514816605
"Rheinland-Pfalz","Andernach Stadt","Andernach ","Andernach , Rheinland-Pfalz",107,"",50.42610168,7.415299892,98.6565023485982
"Rheinland-Pfalz","Bad Kreuznach Stadt","Bad Kreuznach ","Bad Kreuznach , Rheinland-Pfalz",166,"",49.82559967,7.868330002,172.846533190522
"Rheinland-Pfalz","Bad NeuenahrAhrweiler Stadt","Bad Neuenahr-Ahrweiler ","Bad Neuenahr-Ahrweiler , Rheinland-Pfalz",113,"",50.54500961,7.101709843,77.9979338758151
"Rheinland-Pfalz","Gerolstein Stadt","Gerolstein ","Gerolstein , Rheinland-Pfalz",116,"",50.21680069,6.661049843,111.335375534518
"Rheinland-Pfalz","Kaiserslautern Stadt","Kaiserslautern ","Kaiserslautern , Rheinland-Pfalz",166,"",49.44329834,7.755539894,208.988598257425
"Rheinland-Pfalz","Kirchen Sieg Stadt","Kirchen (Sieg)","Kirchen (Sieg), Rheinland-Pfalz",144,"",50.8064003,7.884829998,90.1384680237773
"Rheinland-Pfalz","Koblenz Stadt","Koblenz ","Koblenz , Rheinland-Pfalz",629,"",50.36130142,7.587659836,110.885644512402
"Rheinland-Pfalz","Ludwigshafen am Rhein Stadt","Ludwigshafen am Rhein ","Ludwigshafen am Rhein , Rheinland-Pfalz",212,"",49.48094177,8.447299957,226.553891479148
"Rheinland-Pfalz","Mainz Stadt","Mainz ","Mainz , Rheinland-Pfalz",524,"",50.00061035,8.272279739,171.636018679031
"Rheinland-Pfalz","Mayen Stadt","Mayen ","Mayen , Rheinland-Pfalz",129,"",50.33269882,7.226399899,103.167735373273
"Rheinland-Pfalz","Neuwied Stadt","Neuwied ","Neuwied , Rheinland-Pfalz",336,"",50.44189835,7.474229813,99.0881054706039
"Rheinland-Pfalz","Prüm Stadt","Prüm ","Prüm , Rheinland-Pfalz",119,"",50.20864,6.419275,114.746555667389
"Rheinland-Pfalz","Speyer Stadt","Speyer ","Speyer , Rheinland-Pfalz",136,"",49.31000137,8.425359726,242.268111328547
"Rheinland-Pfalz","Trier Stadt","Trier ","Trier , Rheinland-Pfalz",661,"",49.75733948,6.636199951,162.412596993078
"Rheinland-Pfalz","Wittlich Stadt","Wittlich ","Wittlich , Rheinland-Pfalz",118,"",49.98379898,6.8895998,137.173963531865
"Rheinland-Pfalz","Worms Stadt","Worms ","Worms , Rheinland-Pfalz",116,"",49.62779999,8.356789589,209.212015494632
"Saarland","Saarbrücken Landeshauptstadt","Saarbrücken","Saarbrücken, Saarland",472,"",49.23149109,6.998330116,221.122259949348
"Sachsen","BAUTZEN","Bautzen","Bautzen, Sachsen",104,"",51.17689896,14.42910004,534.731524969135
"Sachsen","CHEMNITZ","Chemnitz","Chemnitz, Sachsen",540,"",50.83620071,12.93700027,434.16670466738
"Sachsen","DRESDEN","Dresden","Dresden, Sachsen",1073,"",51.05363083,13.74081039,487.642849075893
"Sachsen","FREIBERG","Freiberg","Freiberg, Sachsen",114,"",50.91059875,13.34889984,461.862657570621
"Sachsen","GÖRLITZ","Görlitz","Görlitz, Sachsen",230,"",51.12950134,14.98349953,573.784761411678
"Sachsen","HOYERSWERDA","Hoyerswerda","Hoyerswerda, Sachsen",105,"",51.43901825,14.24427986,520.920146687024
"Sachsen","LEIPZIG","Leipzig","Leipzig, Sachsen",1243,"",51.34519958,12.3859396,391.591732301379
"Sachsen","MEIßEN","Meißen","Meißen, Sachsen",105,"",51.162428,13.494248,469.556150535239
"Sachsen","PLAUEN","Plauen","Plauen, Sachsen",110,"",50.4978981,12.16699982,387.795363833907
"Sachsen","ZWICKAU","Zwickau","Zwickau, Sachsen",213,"",50.71789932,12.45730019,402.808170181833
"Sachsen-Anhalt","BERNBURG","Bernburg","Bernburg, Sachsen-Anhalt",111,"",51.79546738,11.73930645,350.514417354373
"Sachsen-Anhalt","DESSAU","Dessau","Dessau, Sachsen-Anhalt",267,"",51.8360405,12.24283028,385.523636584855
"Sachsen-Anhalt","HALBERSTADT","Halberstadt","Halberstadt, Sachsen-Anhalt",120,"",51.90999985,11.02680016,304.66099650201
"Sachsen-Anhalt","HALLE (SAALE)","Halle (Saale)","Halle (Saale), Sachsen-Anhalt",600,"",51.45669937,11.96720028,362.681567065273
"Sachsen-Anhalt","HINDENBURG","Hindenburg","Hindenburg, Sachsen-Anhalt",457,"",52.7537117,11.93013954,393.110777358446
"Sachsen-Anhalt","KÖTHEN","Köthen","Köthen, Sachsen-Anhalt",103,"",51.75,11.97119999,365.665173828601
"Sachsen-Anhalt","MAGDEBURG","Magdeburg","Magdeburg, Sachsen-Anhalt",717,"",52.13185883,11.62777996,350.665812101458
"Sachsen-Anhalt","MERSEBURG","Merseburg","Merseburg, Sachsen-Anhalt",120,"",51.33229828,11.99250031,364.175868914479
"Sachsen-Anhalt","STENDAL","Stendal","Stendal, Sachsen-Anhalt",142,"",52.60530853,11.85071659,381.762877558305
"Sachsen-Anhalt","STOLBERG","Stolberg","Stolberg, Sachsen-Anhalt",112,"",51.57344818,10.95503044,293.526159787342
"Sachsen-Anhalt","WERNIGERODE","Wernigerode","Wernigerode, Sachsen-Anhalt",102,"",51.84090042,10.80749989,288.239015895166
"Sachsen-Anhalt","WITTENBERG","Wittenberg","Wittenberg, Sachsen-Anhalt",174,"",51.8676796,12.64865971,413.704725228195
"Schleswig-Holstein","Eutin Stadt","Eutin ","Eutin , Schleswig-Holstein",105,"",54.13729858,10.6086998,415.538572231981
"Schleswig-Holstein","Flensburg Stadt","Flensburg ","Flensburg , Schleswig-Holstein",271,"",54.79779816,9.477919579,437.66570165899
"Schleswig-Holstein","Itzehoe Stadt","Itzehoe ","Itzehoe , Schleswig-Holstein",104,"",53.99000168,9.571260452,361.958793093565
"Schleswig-Holstein","Kiel Landeshauptstadt","Kiel","Kiel, Schleswig-Holstein",735,"",54.32324982,10.1322403,413.126078618494
"Schleswig-Holstein","Lübeck Hansestadt","Lübeck","Lübeck, Schleswig-Holstein",458,"",53.86626816,10.68087959,396.216366100264
"Schleswig-Holstein","Neumünster Stadt","Neumünster ","Neumünster , Schleswig-Holstein",180,"",54.07014084,9.987830162,384.674231215595
"Schleswig-Holstein","Rendsburg Stadt","Rendsburg ","Rendsburg , Schleswig-Holstein",129,"",54.29779816,9.666950226,394.373095458791
"Schleswig-Holstein","Schleswig Stadt","Schleswig ","Schleswig , Schleswig-Holstein",122,"",54.53390121,9.562609673,413.922937099635
"Thüringen","Altenburg Stadt","Altenburg ","Altenburg , Thüringen",113,"",50.98659897,12.43980026,397.43410963937
"Thüringen","Erfurt Stadt","Erfurt ","Erfurt , Thüringen",511,"",51.02830124,11.03960037,299.189119380187
"Thüringen","Gera Stadt","Gera ","Gera , Thüringen",236,"",50.87979889,12.11330032,376.051029184592
"Thüringen","Gotha Stadt","Gotha ","Gotha , Thüringen",123,"",50.94260025,10.70180035,276.745261926383
"Thüringen","Jena Stadt","Jena ","Jena , Thüringen",286,"",50.92039871,11.59070015,339.013121123639
"Thüringen","Nordhausen Stadt","Nordhausen ","Nordhausen , Thüringen",115,"",51.50310135,10.80130005,282.154040396996
"Afghanistan","HERAT","Herat","Herat, Afghanistan",121,"",34.34376144,62.18511963,4771.65134657265
"Afghanistan","KABUL","Kabul","Kabul, Afghanistan",586,"",34.53155136,69.12535095,5242.66661637293
"Ägypten","KAIRO","Kairo","Kairo, Ägypten",180,"",30.04541969,31.2421093,3100.78047144319
"Argentinien","BUENOS AIRES","Buenos Aires","Buenos Aires, Argentinien",142,"",-34.61455536,-58.44587708,11426.4104952376
"Aserbaidschan","BAKU","Baku","Baku, Aserbaidschan",218,"",40.41059875,49.8722496,3499.19288183318
"Belgien","BRÜSSEL","Brüssel","Brüssel, Belgien",103,"",50.84270096,4.378109932,173.248182217289
"Bosnien und Herzegowina","SARAJEVO","Sarajevo","Sarajevo, Bosnien und Herzegowina",246,"",43.85942078,18.4357605,1196.75397419407
"Bosnien und Herzegowina","TUZLA","Tuzla","Tuzla, Bosnien und Herzegowina",160,"",44.53680038,18.69599915,1157.53695588083
"Bosnien und Herzegowina","ZENICA","Zenica","Zenica, Bosnien und Herzegowina",106,"",44.19469833,17.93720055,1142.27792002796
"Brasilien","RIO DE JANEIRO","Rio de Janeiro","Rio de Janeiro, Brasilien",105,"",-22.91216087,-43.17501068,9540.31732775527
"Brasilien","SAO PAULO","Sao Paulo","Sao Paulo, Brasilien",111,"",-23.56283951,-46.6546402,9778.8440990193
"Bulgarien","PLOVDIV","Plowdiw","Plowdiw, Bulgarien",149,"",42.13619995,24.75530052,1698.22937605609
"Bulgarien","SOFIA","Sofia","Sofia, Bulgarien",362,"",42.67819214,23.39904404,1575.36257682577
"Bulgarien","STARA ZAGORA","Stara Sagora","Stara Sagora, Bulgarien",102,"",42.42272949,25.6354599,1731.28536459021
"Bulgarien","VARNA","Warna","Warna, Bulgarien",127,"",43.21670151,27.91670036,1821.94654566558
"China","BEIJING","Beijing","Beijing, China",125,"",39.90657043,116.3876495,7826.22120870105
"China","GUANGDONG","Guangdong","Guangdong, China",178,"",23.20279884,113.3743896,9110.30875549449
"China","HENAN","Henan","Henan, China",112,"",33.86470795,113.5865707,8192.3084432015
"China","HONG KONG","Hong Kong","Hong Kong, China",145,"",22.33615685,114.1869659,9237.12321430731
"China","HUBEI","Hubei","Hubei, China",202,"",30.94911957,112.2711334,8367.07160597572
"China","HUNAN","Hunan","Hunan, China",125,"",27.58358383,111.6998444,8624.13042933139
"China","JIANGSU","Jiangsu","Jiangsu, China",248,"",33.01850128,119.4911652,8601.24878412513
"China","LIAONING","Liaoning","Liaoning, China",171,"",41.17638397,122.5526962,8033.46671564468
"China","SHANDONG","Shandong","Shandong, China",193,"",36.37627029,118.3159714,8238.75870238008
"China","SHANGHAI","Shanghai","Shanghai, China",379,"",31.22414589,121.5161362,8874.32269723952
"China","SICHUAN","Sichuan","Sichuan, China",145,"",30.60892487,102.7037048,7805.16955379121
"China","ZHEJIANG","Zhejiang","Zhejiang, China",207,"",29.19950485,120.4452667,8997.20785750637
"Eritrea","ASMARA","Asmara","Asmara, Eritrea",136,"",15.33298969,38.92047119,4900.09272402668
"Frankreich","PARIS","Paris","Paris, Frankreich",503,"",48.85692978,2.341200113,411.797888084416
"Georgien","TIFLIS","Tiflis","Tiflis, Georgien",241,"inklusive 100 für Tbilisi",41.72565079,44.79304886,3063.63677803114
"Ghana","ACCRA","Accra","Accra, Ghana",621,"",5.581069946,-0.198970005,5093.6655416816
"Ghana","KUMASI","Kumasi","Kumasi, Ghana",447,"",6.697450161,-1.629840016,4990.03890147442
"Griechenland","ATHEN","Athen","Athen, Griechenland",440,"",37.99280167,23.76950073,1984.18799723899
"Griechenland","DRAMA","Drama","Drama, Griechenland",155,"",41.15729904,24.15089989,1737.91977519159
"Griechenland","IOANNINA","Ioannina","Ioannina, Griechenland",100,"",39.64730072,20.84140015,1685.75196425165
"Griechenland","KOMOTINI","Komotini","Komotini, Griechenland",215,"",41.11589813,25.39380074,1814.78222239413
"Griechenland","SERRES","Serres","Serres, Griechenland",274,"",41.09090042,23.56451035,1709.23958576353
"Griechenland","THESSALONIKI","Thessaloniki","Thessaloniki, Griechenland",547,"",40.64839935,22.93530083,1709.93667578612
"Griechenland","XANTHI","Xanthi","Xanthi, Griechenland",103,"",41.14089966,24.88660049,1782.5662977926
"Irak","BAGDAD","Bagdad","Bagdad, Irak",352,"",33.34180069,44.39350128,3623.60071027162
"Irak","MOSUL","Mosul","Mosul, Irak",113,"",36.32460022,43.11709976,3312.59047779
"Iran","AHVAZ","Ahvaz","Ahvaz, Iran",136,"",31.31671333,48.68438339,4068.0179434404
"Iran","ESFAHAN","Isfahan","Isfahan, Iran",121,"",32.65085983,51.68386078,4168.13717937236
"Iran","MASHHAD","Meschhed","Meschhed, Iran",100,"",36.28292084,59.59812164,4453.35309140406
"Iran","SHIRAZ","Schiras","Schiras, Iran",168,"",29.59100914,52.53059006,4463.23730207995
"Iran","TEHERAN","Teheran","Teheran, Iran",2613,"",35.68954086,51.4146843,3925.46566546857
"Irland","DUBLIN","Dublin","Dublin, Irland",121,"",53.33309937,-6.248889923,918.244797973724
"Italien","MAILAND","Mailand","Mailand, Italien",104,"",45.45199966,9.192770004,664.921489236934
"Italien","NEAPEL","Neapel","Neapel, Italien",264,"inklusive 112 für Napoli",40.84769821,14.26259995,1287.53058580424
"Italien","PALERMO","Palermo","Palermo, Italien",220,"",38.11709976,13.35289955,1543.48529999941
"Italien","PARTINICO","Partinico","Partinico, Italien",133,"",38.04809952,13.12150002,1544.81552874784
"Italien","ROM","Rom","Rom, Italien",173,"",41.90304947,12.49580002,1122.67319444143
"Japan","AICHI","Aichi","Aichi, Japan",212,"",34.9705162,137.1820679,9301.53190833852
"Japan","CHIBA","Chiba","Chiba, Japan",168,"",35.45575333,140.2040863,9382.99584668302
"Japan","FUKUOKA","Fukuoka","Fukuoka, Japan",124,"",33.5839653,130.4128571,9120.06737749548
"Japan","HYOGO","Hyogo","Hyogo, Japan",171,"",34.92504883,134.8162231,9200.27217544945
"Japan","KANAGAWA","Kanagawa","Kanagawa, Japan",267,"",35.37968063,139.3903961,9356.45949681967
"Japan","KYOTO","Kyoto","Kyoto, Japan",131,"",35.32315063,135.4155884,9189.00498986492
"Japan","OSAKA","Osaka","Osaka, Japan",382,"",34.67752075,135.5129089,9255.67357718679
"Japan","SAITAMA","Saitama","Saitama, Japan",158,"",35.86591339,139.6446075,9319.31406342156
"Japan","TOKIO","Tokio","Tokio, Japan",956,"inklusive 507 für ""Tokyo""",35.68320847,139.8089447,9344.14641228288
"Mazedonien","KUMANOVO","Kumanovo","Kumanovo, Mazedonien",420,"",42.13668823,21.7177906,1519.24642771633
"Kasachstan","ALMA-ATA","Almaty","Almaty, Kasachstan",176,"",43.25051117,76.88812256,5176.57102670819
"Kasachstan","KARAGANDA","Karaganda","Karaganda, Kasachstan",341,"",49.78739929,73.14820099,4547.27067513569
"Kasachstan","PAWLODAR","Pawlodar","Pawlodar, Kasachstan",158,"",52.33044052,76.96981812,4650.76503143285
"Kolumbien","BOGOTA","Bogota","Bogota, Kolumbien",124,"",4.31533432,-74.17960358,9001.26154685602
"Kongo, Dem.Republik (Zaire)","KINSHASA","Kinshasa","Kinshasa, Kongo, Dem.Republik (Zaire)",167,"",-4.4419311,15.2662931,6211.58111731662
"Korea, Republik","SEOUL","Seoul","Seoul, Korea, Republik",744,"",37.566535,126.9779692,8580.28094864796
"Kroatien","SPLIT","Split","Split, Kroatien",103,"",43.5141983,16.4314003,1122.32137739106
"Kroatien","ZAGREB","Zagreb","Zagreb, Kroatien",386,"",45.80189896,15.94709969,904.913243409386
"Lettland","RIGA","Riga","Riga, Lettland",327,"",57.02769852,24.04470062,1295.83538969947
"Libanon","BEIRUT","Beirut","Beirut, Libanon",190,"",33.89606857,35.50677872,3009.60284939583
"Libanon","TRIPOLI","Tripoli","Tripoli, Libanon",177,"",34.44100189,35.85499954,2986.27808850545
"Marokko","BEN TAIEB","Ben Taieb","Ben Taieb, Marokko",102,"",35.04399872,-3.45904994,1974.31715446242
"Marokko","BENI OULICHEK","Beni Oulichek","Beni Oulichek, Marokko",227,"",35.08459854,-3.443190098,1969.60077719419
"Marokko","BENI SIDEL","Beni Sidel","Beni Sidel, Marokko",173,"",35.12939835,-3.123670101,1954.42544494627
"Marokko","BENI TOUZINE","Beni Touzine","Beni Touzine, Marokko",181,"",35.7397995,-5.846680164,1992.11633604992
"Marokko","BENI TOUZINE/NADOR","Nador","Nador, Marokko",105,"""=Nador?""",35.17979813,-2.926179886,1942.81244252636
"Marokko","CASABLANCA","Casablanca","Casablanca, Marokko",295,"",33.58848953,-7.677189827,2280.35547079458
"Marokko","FES","Fes","Fes, Marokko",126,"",34.0428009,-5.015520096,2131.12434674759
"Marokko","KENITRA","Kenitra","Kenitra, Marokko",178,"",34.25439835,-6.605750084,2170.41179302582
"Marokko","MIDAR","Midar","Midar, Marokko",157,"",34.94766998,-3.529510021,1986.60608022661
"Marokko","NADOR","Nador","Nador, Marokko",687,"inklusive 107 für ""Nafor/Marokko""",35.17979813,-2.926179886,1942.81244252636
"Marokko","OUJDA","Oujda","Oujda, Marokko",264,"",34.67359924,-1.942440033,1965.75395808483
"Marokko","RABAT","Rabat","Rabat, Marokko",169,"",34.02088928,-6.841639996,2203.18014230827
"Marokko","TANGER","Tanger","Tanger, Marokko",132,"",35.74900055,-5.810929775,1989.7613294508
"Marokko","TEMSAMANE","Temsamane","Temsamane, Marokko",117,"",35.11444092,-3.641530037,1973.2116370124
"Mazedonien","SKOPJE","Skopje","Skopje, Mazedonien",1310,"",41.99473953,21.42999077,1514.58123675651
"Mazedonien","TETOVO","Tetovo","Tetovo, Mazedonien",226,"",42.00880051,20.97660065,1488.23805473092
"Mexiko","MEXIKO-STADT","Mexiko-Stadt","Mexiko-Stadt, Mexiko",169,"",19.27938652,-99.134758,9412.0879523334
"Moldawien","CHISINAU","Chisinau","Chisinau, Moldawien",128,"",47.03770065,28.81229973,1666.82094376138
"Niederlande","AMSTERDAM","Amsterdam","Amsterdam, Niederlande",148,"",52.33069992,4.866539955,180.943119007982
"Nigeria","BENIN CITY","Benin City","Benin City, Nigeria",105,"",6.333940029,5.624499798,4970.39513771403
"Nigeria","LAGOS","Lagos","Lagos, Nigeria",127,"",6.60160017,3.396859884,4949.59018796551
"Österreich","WIEN","Wien","Wien, Österreich",433,"",48.20842743,16.37782097,768.152987661311
"Peru","LIMA","Lima","Lima, Peru",139,"",-12.05613995,-77.02680206,10608.8495067788
"Polen","ALLENSTEIN","Allenstein","Allenstein, Polen",615,"inklusive 107 für Allenstein/Ostpreußen und 117 für Olsztyn",53.7737999,20.51469994,973.708583297348
"Polen","BEUTHEN","Beuthen","Beuthen, Polen",655,"inklusive 117 für Beuthen/Oberschlesien",50.34809875,18.93280029,861.770960050181
"Polen","BRESLAU","Breslau","Breslau, Polen",1370,"inklusive 227 für Wroclaw",51.1106987,17.04299927,717.694620911343
"Polen","BROMBERG","Bromberg","Bromberg, Polen",341,"inklusive 126 für BYDGOSZCZ",53.13349915,18.02750015,797.763850886444
"Polen","DANZIG","Danzig","Danzig, Polen",641,"",54.32889938,18.625,870.030546342687
"Polen","ELBING","Elbing","Elbing, Polen",129,"",54.17919922,19.39509964,913.00096852387
"Polen","ELK","Elk","Elk, Polen",222,"",53.82939911,22.37470055,1095.40869964768
"Polen","GLEIWITZ","Gleiwitz","Gleiwitz, Polen",416,"",50.29270172,18.6678009,844.476652981233
"Polen","GROß STREHLITZ","Groß Strehlitz","Groß Strehlitz, Polen",220,"",50.51047,18.299965,814.259964784817
"Polen","HINDENBURG","Hindenburg","Hindenburg, Polen",100,"",50.30569839,18.75510025,850.28362039101
"Polen","KATTOWITZ","Kattowitz","Kattowitz, Polen",678,"",50.25608826,19.03095055,870.652835860836
"Polen","KÖNIGSHÜTTE","Königshütte","Königshütte, Polen",349,"",50.26433945,18.93671036,863.886664720484
"Polen","KRAKAU","Krakau","Krakau, Polen",127,"",50.07339859,20.03590012,945.133431845667
"Polen","LAURAHÜTTE","Laurahütte","Laurahütte, Polen",129,"",50.30279922,19.00760078,867.97901626503
"Polen","LODZ","Lodz","Lodz, Polen",210,"",51.78829956,19.46839905,882.496994173024
"Polen","OPPELN","Oppeln","Oppeln, Polen",472,"",50.67839813,17.94720078,786.584171091137
"Polen","PEISKRETSCHAM","Peiskretscham","Peiskretscham, Polen",104,"",50.38869858,18.62779999,839.608872680761
"Polen","POSEN","Posen","Posen, Polen",157,"",52.35572815,16.85575676,706.400641732269
"Polen","RATIBOR","Ratibor","Ratibor, Polen",324,"",50.09799957,18.2241993,818.157798720528
"Polen","RYBNIK","Rybnik","Rybnik, Polen",105,"",50.08982849,18.53274918,839.867100904992
"Polen","STETTIN","Stettin","Stettin, Polen",502,"",53.42520142,14.55620003,584.230213134779
"Polen","SWIDNICA","Swidnica","Swidnica, Polen",211,"",50.84090042,16.48740005,682.072069991778
"Polen","TARNOWITZ","Tranowitz","Tranowitz, Polen",196,"",50.44319916,18.85720062,854.513965195844
"Polen","WARSCHAU","Warschau","Warschau, Polen",259,"",52.22874832,21.00625038,988.144810069528
"Portugal","LISSABON","Lissabon","Lissabon, Portugal",115,"",38.71699905,-9.138640404,1863.42023254251
"Rumänien","BACAU","Bacau","Bacau, Rumänien",145,"",46.58250046,26.90509987,1557.11124001722
"Rumänien","BUKAREST","Bukarest","Bukarest, Rumänien",709,"inklusive 110 für Bukarest/Rumänien",44.43429184,26.10296059,1624.670497753
"Rumänien","CONSTANTA","Constanta","Constanta, Rumänien",129,"",44.15399933,28.61849976,1808.63800637029
"Rumänien","IASI","Iasi","Iasi, Rumänien",105,"",47.16669846,27.55380058,1573.84656971445
"Rumänien","TIMISOARA","Timisoara","Timisoara, Rumänien",163,"",45.75553513,21.23749924,1226.10111465442
"Russische Föderation","KÖNIGSBERG","Königsberg","Königsberg, Russische Föderation",470,"inklusive 135 für Königsberg/Ostpreußen",54.7090416,20.50595093,998.935398298311
"Russische Föderation","LENINGRAD","Leningrad","Leningrad, Russische Föderation",255,"",59.92887497,30.22154617,1753.69522340385
"Russische Föderation","MOSKAU","Moskau","Moskau, Russische Föderation",1240,"",55.75696945,37.61502075,2089.50781071955
"Russische Föderation","OMSK","Omsk","Omsk, Russische Föderation",241,"",54.99414063,73.36470795,4308.6105731399
"Russische Föderation","ST. PETERSBURG","St. Petersburg","St. Petersburg, Russische Föderation",615,"inklusive 106 für St.Petersburg und 101 für Sankt Petersburg und 255 für Leningrad",59.92887497,30.22154617,1753.69522340385
