pops,distance,countsum,orte,norm,
89893.28125,1226.101115,163,"Timisoara, Rumänien",0.001813261,
90522.13281,361.9587931,104,"Itzehoe , Schleswig-Holstein",0.00114889,
90543.63281,9189.00499,131,"Kyoto, Japan",0.001446816,
90709.47656,299.1891194,511,"Erfurt , Thüringen",0.00563337,
90780.27344,146.4680147,162,"Weimar an der Lahn, Hessen",0.001784529,
91143.24219,2370.608761,293,"Ankara, Türkei",0.00321472,
92660.49219,101.6720733,175,"Lenne , Nordrhein-Westfalen",0.001888615,
93824.67969,162.412597,661,"Trier , Rheinland-Pfalz",0.007045055,
95225.57031,272.6511461,326,"Wilhelmshaven, Niedersachsen",0.00342345,
95451.09375,1457.56368,191,"Prizren, Kosovo",0.002001025,
95864.42188,904.9132434,386,"Zagreb, Kroatien",0.00402652,
97084.67188,134.8146174,236,"Ibbenbüren , Nordrhein-Westfalen",0.002430868,
97360.22656,191.3504326,384,"Minden , Nordrhein-Westfalen",0.003944116,
97612.96875,4650.765031,158,"Pawlodar, Kasachstan",0.001618637,
97625.15625,372.8539348,131,"Villingen-Schwenningen, Baden-Württemberg",0.001341867,
97872.78125,3142.638271,134,"Hasaka, Syrien",0.001369124,
98251.89063,203.4287226,217,"Hameln, Niedersachsen",0.002208609,
98722.70313,338.9569405,123,"Rheinhausen, Baden-Württemberg",0.001245914,
98734.88281,78.15946313,267,"Dülmen , Nordrhein-Westfalen<br>Lüdinghausen , Nordrhein-Westfalen",0.002704211,
99180.52344,103.1677354,129,"Mayen , Rheinland-Pfalz",0.001300659,
102177.2969,267.7594474,280,"Bad Kissingen, Bayern<br>Schweinfurt, Bayern",0.002740335,
103320.2031,148.2389978,888,"Paderborn , Nordrhein-Westfalen",0.00859464,
103947.7969,336.0963209,188,"Lüneburg, Niedersachsen",0.0018086,
104920.5,116.2609823,224,"Warendorf , Nordrhein-Westfalen",0.00213495,
105463.2969,1685.751964,100,"Ioannina, Griechenland",0.000948197,
106246.2031,384.6742312,180,"Neumünster , Schleswig-Holstein",0.001694178,
108832.5,430.2429327,120,"Konstanz, Baden-Württemberg",0.001102612,
108849.6016,100.9732666,388,"Soest , Nordrhein-Westfalen",0.003564551,
108966.5,387.7953638,110,"Plauen, Sachsen",0.001009485,
109186.6016,368.2049293,102,"Bayreuth, Bayern",0.000934181,
110965,437.6657017,271,"Flensburg , Schleswig-Holstein",0.002442212,
111480.5,91.74086621,1094,"Siegen , Nordrhein-Westfalen<br>Kirchen (Sieg), Rheinland-Pfalz",0.009813375,
111553.2969,133.2806744,231,"Geseke , Nordrhein-Westfalen<br>Salzkotten , Nordrhein-Westfalen",0.002070759,
111737.8984,172.8465332,166,"Bad Kreuznach , Rheinland-Pfalz",0.001485619,
111746.6016,110.9564639,249,"Steinfurt , Nordrhein-Westfalen",0.002228256,
111990,289.2574377,110,"Baden-Baden, Baden-Württemberg",0.000982231,
112730.6016,4453.353091,100,"Meschhed, Iran",0.000887071,
113425.5,469.5561505,105,"Meißen, Sachsen",0.000925718,
113461,1544.815529,133,"Partinico, Italien",0.001172209,
113707.2031,529.3657332,210,"Cottbus, Brandenburg",0.001846849,
114117.7031,4463.237302,168,"Schiras, Iran",0.001472164,
114677.1016,1445.570149,160,"Pristina, Kosovo",0.001395222,
115136.5,1468.388252,129,"Ferizaj, Kosovo",0.001120409,
115154.7031,105.4241174,352,"Ahaus, Nordrhein-Westfalen<br>Gronau (Westfalen), Nordrhein-Westfalen",0.003056757,
117197.7969,397.4341096,113,"Altenburg , Thüringen",0.000964182,
