"pops","distance","countsum","orte","norm"
90779.4296875,361.9587931,104,"Itzehoe , Schleswig-Holstein",0.00114563398732522
90967.3828125,299.1891194,511,"Erfurt , Thüringen",0.00561739806292176
91038.5,146.4680147,162,"Weimar an der Lahn, Hessen",0.00177946692882682
92696.2265625,2370.608761,293,"Ankara, Türkei",0.00316086221484373
92924.15625,101.6720733,175,"Lenne , Nordrhein-Westfalen",0.00188325627115931
94090.34375,162.412597,661,"Trier , Rheinland-Pfalz",0.00702516298331623
95077.7734375,4650.765031,158,"Pawlodar, Kasachstan",0.00166179743474812
95496.359375,272.6511461,326,"Wilhelmshaven, Niedersachsen",0.00341374270321496
95953.5390625,1457.56368,191,"Prizren, Kosovo",0.00199054669443293
97360.6875,134.8146174,236,"Ibbenbüren , Nordrhein-Westfalen",0.00242397630974001
97507.21875,3142.638271,134,"Hasaka, Syrien",0.00137425722646817
97636.9375,191.3504326,384,"Minden , Nordrhein-Westfalen",0.00393293777777493
97902.7578125,372.8539348,131,"Villingen-Schwenningen, Baden-Württemberg",0.00133806240934384
98531.53125,203.4287226,217,"Hameln, Niedersachsen",0.0022023406847237
98755.7578125,338.9569405,123,"Rheinhausen, Baden-Württemberg",0.00124549699910694
99015.546875,78.159463125,267,"Lüdinghausen , Nordrhein-Westfalen<br>Dülmen , Nordrhein-Westfalen",0.00269654623366438
99462.7265625,103.1677354,129,"Mayen , Rheinland-Pfalz",0.00129696826598595
102468,267.75944735,280,"Schweinfurt, Bayern<br>Bad Kissingen, Bayern",0.00273256040910333
103613.8984375,148.2389978,888,"Paderborn , Nordrhein-Westfalen",0.00857027882736834
104214.1015625,4453.353091,100,"Meschhed, Iran",0.000959563038981124
104243.3984375,336.0963209,188,"Lüneburg, Niedersachsen",0.00180347151779321
105218.703125,116.2609823,224,"Warendorf , Nordrhein-Westfalen",0.00212889907732362
105496.296875,4463.237302,168,"Schiras, Iran",0.00159247295854431
106548.703125,384.6742312,180,"Neumünster , Schleswig-Holstein",0.00168936828624586
107787.1015625,1685.751964,100,"Ioannina, Griechenland",0.000927754792089064
109159.203125,100.9732666,388,"Soest , Nordrhein-Westfalen",0.00355444148447745
109257.8984375,387.7953638,110,"Plauen, Sachsen",0.00100679220059248
109451.296875,430.2429327,120,"Konstanz, Baden-Württemberg",0.00109637805513668
109498.1015625,368.2049293,102,"Bayreuth, Bayern",0.000931522999435564
111265,437.6657017,271,"Flensburg , Schleswig-Holstein",0.00243562665707994
111797.703125,91.74086621,1094,"Siegen , Nordrhein-Westfalen<br>Kirchen (Sieg), Rheinland-Pfalz",0.0097855319869748
111870.3984375,133.2806744,231,"Salzkotten , Nordrhein-Westfalen<br>Geseke , Nordrhein-Westfalen",0.00206488940082801
112019.1015625,289.2574377,110,"Baden-Baden, Baden-Württemberg",0.000981975381570317
112055.6015625,172.8465332,166,"Bad Kreuznach , Rheinland-Pfalz",0.00148140742350495
112064.296875,110.9564639,249,"Steinfurt , Nordrhein-Westfalen",0.00222193871682203
112330.796875,1544.815529,133,"Partinico, Italien",0.0011840029956166
113748.203125,469.5561505,105,"Meißen, Sachsen",0.000923091504879541
114030.3984375,529.3657332,210,"Cottbus, Brandenburg",0.00184161419128164
115451.3984375,105.424117355,352,"Gronau (Westfalen), Nordrhein-Westfalen<br>Ahaus, Nordrhein-Westfalen",0.00304890200347427
115552.796875,1445.570149,160,"Pristina, Kosovo",0.00138464844060054
116015.796875,1468.388252,129,"Ferizaj, Kosovo",0.00111191754463394
117531.1015625,397.4341096,113,"Altenburg , Thüringen",0.000961447638095262
118025.5,573.7847614,230,"Görlitz, Sachsen",0.00194873141821047
119279.6015625,112.1659169,330,"Oelde , Nordrhein-Westfalen<br>Beckum , Nordrhein-Westfalen",0.00276660883904015
119420.6015625,282.80888245,815,"Braunschweig, Niedersachsen<br>Wolfenbüttel, Niedersachsen",0.00682461810890696
122128,237.3596822,541,"Hildesheim, Niedersachsen<br>Gronau (Leine), Niedersachsen",0.00442977859295166
122218.203125,140.0795219,227,"Georgsmarienhütte, Niedersachsen",0.00185733380295105
123634.203125,60.547069765,597,"Goch , Nordrhein-Westfalen<br>Kevelaer , Nordrhein-Westfalen",0.00482876085185266
124216.296875,140.6486033,104,"Mettingen, Nordrhein-Westfalen",0.000837249238758552
124889.1015625,365.6651738,103,"Köthen, Sachsen-Anhalt",0.000824731691647684
126486.5,327.6006982,130,"Bamberg, Bayern",0.00102777766797247
127345,1488.238055,226,"Tetovo, Mazedonien",0.00177470650594841
127686.8984375,98.87230391,443,"Neuwied , Rheinland-Pfalz<br>Andernach , Rheinland-Pfalz",0.00346942407890688
128533.3984375,176.9037405,121,"Lübbecke , Nordrhein-Westfalen",0.000941389564665069
129340.1015625,151.1175413,361,"Gießen, Hessen",0.00279109105094955
130270.5,166.5398613,425,"Detmold , Nordrhein-Westfalen",0.00326244237951033
132427.203125,998.9353983,470,"Königsberg, Russische Föderation",0.0035491197345334
132579.09375,68.70396613,645,"Rhede , Nordrhein-Westfalen<br>Bocholt , Nordrhein-Westfalen",0.00486502043237869
132722.5,308.090056,146,"Wolfsburg, Niedersachsen",0.00110003955621692
133642.796875,83.14288894,275,"Borken , Nordrhein-Westfalen",0.00205772407065991
136513.09375,3153.036809,105,"Daraa, Syrien",0.000769156987917139
136568.09375,78.16064679,465,"Attendorn, Nordrhein-Westfalen<br>Olpe , Nordrhein-Westfalen<br>Plettenberg , Nordrhein-Westfalen",0.00340489485670953
136894.09375,62.03234969,209,"Euskirchen , Nordrhein-Westfalen",0.00152672766424592
137009.40625,1965.753958,264,"Oujda, Marokko",0.00192687500242342
