"Geburtsland","Geburtsort","Geburtsort_Land","Anzahl","Lat_Bing","Long_Bing","Distanz","pop","norm"
"Türkei","Avanos","Avanos, Türkei",170,38.70600128,34.84500122,2589.739064,12833,0.0132470973272033
"Türkei","Aksaray","Aksaray, Türkei",263,38.36780167,34.03068161,2562.262705,171423,0.00153421652870385
"Türkei","Kirsehir","Kirsehir, Türkei",182,39.31573868,34.11726379,2497.756745,99832,0.00182306274541229
"Türkei","Ankara","Ankara, Türkei",293,39.94290161,32.86050034,2370.608761,4338620,6.75329943622627e-05
"Marokko","Casablanca","Casablanca, Marokko",295,33.58848953,-7.677189827,2280.355471,3111977,9.47950450790607e-05
"Marokko","Rabat","Rabat, Marokko",169,34.02088928,-6.841639996,2203.180142,1622860,0.000104137140603626
"Marokko","Kenitra","Kenitra, Marokko",178,34.25439835,-6.605750084,2170.411793,359142,0.000495625685661939
"Ukraine","Simferopol","Simferopol, Ukraine",147,44.95748138,34.10826874,2136.957436,341599,0.000430329128598152
"Türkei","Izmir","Izmir, Türkei",149,38.42618179,27.14191055,2134.176811,2783866,5.35226911065403e-05
"Marokko","Fes","Fes, Marokko",126,34.0428009,-5.015520096,2131.124347,946815,0.000133077739579538
"Russische Föderation","Moskau","Moskau, Russische Föderation",1240,55.75696945,37.61502075,2089.507811,10563038,0.00011739047043095
"Ukraine","Charkow","Charkow, Ukraine",351,50.00423813,36.23575974,2075.611055,1452256,0.00024169292466342
"Türkei","Istanbul","Istanbul, Türkei",557,41.06072998,28.98777008,2040.98987,13301345,4.18754644737055e-05
"Ukraine","Dnepropetrowsk","Dnepropetrowsk, Ukraine",387,48.47531128,35.01612091,2040.903116,987629,0.00039184754599146
"Marokko","Beni Touzine","Beni Touzine, Marokko",181,35.7397995,-5.846680164,1992.116336,NA,NA
"Marokko","Tanger","Tanger, Marokko",132,35.74900055,-5.810929775,1989.761329,669685,0.000197107595361999
"Marokko","Midar","Midar, Marokko",157,34.94766998,-3.529510021,1986.60608,13229,0.0118678660518558
"Griechenland","Athen","Athen, Griechenland",440,37.99280167,23.76950073,1984.187997,655780,0.000670956723291348
"Marokko","Ben Taieb","Ben Taieb, Marokko",102,35.04399872,-3.45904994,1974.317154,10446,0.00976450315910396
"Marokko","Temsamane","Temsamane, Marokko",117,35.11444092,-3.641530037,1973.211637,14937,0.00783289817232376
"Marokko","Beni Oulichek","Beni Oulichek, Marokko",227,35.08459854,-3.443190098,1969.600777,NA,NA
"Marokko","Oujda","Oujda, Marokko",264,34.67359924,-1.942440033,1965.753958,400738,0.000658784542519052
"Marokko","Beni Sidel","Beni Sidel, Marokko",173,35.12939835,-3.123670101,1954.425445,NA,NA
"Marokko","Nador","Nador, Marokko",792,35.17979813,-2.926179886,1942.812443,161726,0.00489717175964285
"Portugal","Lissabon","Lissabon, Portugal",115,38.71699905,-9.138640404,1863.420233,517802,0.000222092614551508
