"x","x.1"
0,0.0592274692097041
413.793103448276,0.001245246959839
827.586206896552,0.000629238291253266
1241.37931034483,0.000420983048878986
1655.1724137931,0.000316299342844849
2068.96551724138,0.000253310030479768
2482.75862068966,0.00021124226911668
2896.55172413793,0.000181157104922191
3310.34482758621,0.000158573094593142
3724.13793103448,0.000140995805876602
4137.93103448276,0.000126926441160221
4551.72413793103,0.000115410158128987
4965.51724137931,0.000105809826631213
5379.31034482759,9.76840332324787e-05
5793.10344827586,9.07172894503886e-05
6206.89655172414,8.46781167826255e-05
6620.68965517241,7.93928287797754e-05
7034.48275862069,7.47285548290209e-05
7448.27586206897,7.05819159330322e-05
7862.06896551724,6.68712725210907e-05
8275.86206896552,6.35312954222223e-05
8689.65517241379,6.05090864041487e-05
9103.44827586207,5.7761355715225e-05
9517.24137931034,5.52523352329102e-05
9931.03448275862,5.29522128586823e-05
10344.8275862069,5.0835942335666e-05
10758.6206896552,4.8882327497047e-05
11172.4137931034,4.70733098530994e-05
11586.2068965517,4.53934087211327e-05
12000,4.38292771049031e-05
