"Geburtsland","Geburtsort","Geburtsort_Land","Anzahl","Lat_Bing","Long_Bing","Distanz","pop","norm"
"Sachsen-Anhalt","Bernburg","Bernburg, Sachsen-Anhalt",111,51.79546738,11.73930645,350.5144174,31329,0.00354304318682371
"Baden-Württemberg","Reutlingen","Reutlingen, Baden-Württemberg",131,48.49499893,9.202969551,349.0975437,112431,0.00116515907534399
"Baden-Württemberg","Tübingen","Tübingen, Baden-Württemberg",270,48.52130127,9.052980423,341.2503298,83740,0.00322426558395032
"Hamburg","Hamburg","Hamburg, Hamburg",2775,53.55334091,9.992469788,339.8463742,1774224,0.00156406406406406
"Thüringen","Jena ","Jena , Thüringen",286,50.92039871,11.59070015,339.0131211,102494,0.00279040724335083
"Baden-Württemberg","Rheinhausen","Rheinhausen, Baden-Württemberg",123,48.22679138,7.710529804,338.9569405,3436,0.0357974388824214
"Niedersachsen","Lüneburg","Lüneburg, Niedersachsen",188,53.25270081,10.41180038,336.0963209,72057,0.00260904561666458
"Bayern","Bamberg","Bamberg, Bayern",130,49.89030075,10.90579987,327.6006982,69574,0.00186851410009486
"Niedersachsen","Uelzen","Uelzen, Niedersachsen",108,52.97449875,10.56260014,324.8810839,34758,0.00310719834282755
"Niedersachsen","Stade Hanse","Stade Hanse, Niedersachsen",138,53.59527,9.47672,322.1448465,45772,0.0030149436336625
"Baden-Württemberg","Stuttgart","Stuttgart, Baden-Württemberg",1097,48.76766968,9.171919823,321.7563452,593923,0.00184704077801331
"Niedersachsen","Cuxhaven","Cuxhaven, Niedersachsen",148,53.84429932,8.687970161,319.8035361,51899,0.00285169271084221
"Niedersachsen","Helmstedt","Helmstedt, Niedersachsen",115,52.22919846,10.99839973,312.7231691,25186,0.0045660287461288
"Bayern","Coburg","Coburg, Bayern",125,50.26570129,10.93809986,312.1408436,41638,0.00300206542100965
"Baden-Württemberg","Ludwigsburg","Ludwigsburg, Baden-Württemberg",113,48.89319992,9.194270134,310.8170184,87280,0.00129468377635197
"Niedersachsen","Wolfsburg","Wolfsburg, Niedersachsen",146,52.42440033,10.79749966,308.090056,120493,0.00121168864581345
"Sachsen-Anhalt","Halberstadt","Halberstadt, Sachsen-Anhalt",120,51.90999985,11.02680016,304.6609965,39318,0.00305203723485427
"Thüringen","Erfurt ","Erfurt , Thüringen",511,51.02830124,11.03960037,299.1891194,202658,0.00252148940579696
"Sachsen-Anhalt","Stolberg","Stolberg, Sachsen-Anhalt",112,51.57344818,10.95503044,293.5261598,58540,0.00191322172873249
"Baden-Württemberg","Pforzheim","Pforzheim, Baden-Württemberg",212,48.89350128,8.706979752,292.7970386,119156,0.00177918023431468
"Baden-Württemberg","Heilbronn","Heilbronn, Baden-Württemberg",208,49.13830185,9.237910271,290.2129486,121384,0.00171357015751664
"Baden-Württemberg","Baden-Baden","Baden-Baden, Baden-Württemberg",110,48.78150177,8.203570366,289.2574377,54855,0.00200528666484368
"Sachsen-Anhalt","Wernigerode","Wernigerode, Sachsen-Anhalt",102,51.84090042,10.80749989,288.2390159,33871,0.00301142570340409
"Bremen","Bremerhaven","Bremerhaven, Bremen",320,53.52610016,8.623869896,286.0804593,116045,0.00275755095006248
"Niedersachsen","Braunschweig","Braunschweig, Niedersachsen",685,52.23550034,10.54189968,283.8013836,245467,0.00279059914367308
"Thüringen","Nordhausen ","Nordhausen , Thüringen",115,51.50310135,10.80130005,282.1540404,43344,0.0026531930601698
"Niedersachsen","Wolfenbüttel","Wolfenbüttel, Niedersachsen",130,52.15890121,10.55910015,281.8163813,54124,0.00240189195181435
