Geburtsland,Geburtsort,Geburtsort_Land,Anzahl,Lat_Bing,Long_Bing,Distanz
Mecklenburg-Vorpommern,Stralsund,"Stralsund, Mecklenburg-Vorpommern",134,54.30881119,13.09450722,547.609523
Niedersachsen,Aurich,"Aurich, Niedersachsen",131,53.46720123,7.488900185,255.0525756
Niedersachsen,Bad Pyrmont,"Bad Pyrmont, Niedersachsen",104,51.99020004,9.266719818,192.8469639
Niedersachsen,Braunschweig,"Braunschweig, Niedersachsen",685,52.23550034,10.54189968,283.8013836
Niedersachsen,Celle,"Celle, Niedersachsen",297,52.62189865,10.0763998,275.6613111
Niedersachsen,Cloppenburg,"Cloppenburg, Niedersachsen",137,52.8404007,8.043840408,200.5258988
Niedersachsen,Cuxhaven,"Cuxhaven, Niedersachsen",148,53.84429932,8.687970161,319.8035361
Niedersachsen,Delmenhorst,"Delmenhorst, Niedersachsen",151,53.04919815,8.625289917,239.9957872
Niedersachsen,Emden,"Emden, Niedersachsen",119,53.37070084,7.208630085,241.4619281
Niedersachsen,Georgsmarienhütte,"Georgsmarienhütte, Niedersachsen",227,52.1977005,8.045419693,140.0795219
Niedersachsen,Goslar,"Goslar, Niedersachsen",150,51.91469955,10.42930031,264.9443379
Niedersachsen,Göttingen,"Göttingen, Niedersachsen",645,51.55989838,9.931920052,222.9743012
Niedersachsen,Gronau (Leine),"Gronau (Leine), Niedersachsen",140,52.08319855,9.786910057,229.6113939
Niedersachsen,Hameln,"Hameln, Niedersachsen",217,52.1012001,9.348750114,203.4287226
Niedersachsen,Hannover,"Hannover, Niedersachsen",1551,52.37226868,9.738149643,241.4353101
Niedersachsen,Haselünne,"Haselünne, Niedersachsen",105,52.6780014,7.479949951,169.6583528
Niedersachsen,Helmstedt,"Helmstedt, Niedersachsen",115,52.22919846,10.99839973,312.7231691
Niedersachsen,Hildesheim,"Hildesheim, Niedersachsen",401,52.16080093,9.978560448,245.1079705
Niedersachsen,Holzminden,"Holzminden, Niedersachsen",123,51.82720184,9.445819855,197.3714432
Niedersachsen,Husum,"Husum, Niedersachsen",110,52.56420135,9.242050171,226.4935276
Niedersachsen,Leer (Ostfriesland),"Leer (Ostfriesland), Niedersachsen",168,53.23751068,7.461763859,229.6657373
Niedersachsen,Lingen (Ems),"Lingen (Ems), Niedersachsen",221,52.53214264,7.323010921,151.1572289
Niedersachsen,Lüneburg,"Lüneburg, Niedersachsen",188,53.25270081,10.41180038,336.0963209
Niedersachsen,Meppen,"Meppen, Niedersachsen",140,52.69329834,7.277890205,167.893524
Niedersachsen,Nordhorn,"Nordhorn, Niedersachsen",383,52.4457016,7.065020084,138.2192108
